"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4958","should show error message with invalid credentials","Chrome","Sun Apr 06 17:11:27 ICT 2025","failed","Sun Apr 06 17:11:31 ICT 2025","Login Functionality","","",""
"","2485","Check title of Trade for Good","Chrome","Fri Mar 28 00:48:31 ICT 2025","passed","Fri Mar 28 00:48:34 ICT 2025","","","",""
"","62890","Kiểm tra trang chủ Trade for Good","Chrome","Fri Mar 28 00:00:50 ICT 2025","passed","Fri Mar 28 00:01:53 ICT 2025","","","",""
"","2359","Check title of Trade for Good","Chrome","Mon Mar 31 02:59:32 ICT 2025","passed","Mon Mar 31 02:59:34 ICT 2025","","","",""
"","11810","should login successfully with valid credentials","Chrome","Sun Apr 06 17:01:34 ICT 2025","passed","Sun Apr 06 17:01:46 ICT 2025","Login Functionality","","",""
